nazwa,cena,zametr,lokalizacja,powierzchnia,pokoje,pietro,czynsz,forma wlasnosci,stanwykonczenia,balkon/ogrod/taras,miejsce parkingowe,ogrzewanie,opis
2 pok. | Balkon | Rozkład | M.miejskie !,440 000 zł,13 333 zł/m²,"Huby, Krzyki, Wrocław, dolnośląskie",33 m²,2,3/11,430 zł,pełna własność,do remontu,balkon,,miejskie,"Mam Państwu do zaoferowania bardzo ładne, w pełni rozkładowe 2 pokojowe mieszkanie z loggią o powierzchni ok. 33 m2 na 3 piętrze 11 piętrowego budynku z 1985r. na Krzykach, Huby w okolicy Aquaparku i Parku gen. Władysława Andersa i Parku Skowroniego
- 400 m Szkoła Podstawowa nr 17
- 900 m Uniwersytet Ekonomiczny
- 1,3 km Uniwersytetu Medyczny
- 3,3 km Rynek
- 3,5 km Uniwersytet Wrocławski
Lokal składa się:
- pokoju z wyjściem na loggię
- sypialni
- oddzielnej kuchni
- przedpokoju z szafą
- łazienki z WC
- Loggi
Mieszkanie do remontu.
Budynek po termomodernizacji. Nowa elewacja. Klatka schodowa po remoncie, czysta i zadbana.
Przed budynkiem liczne miejsca postojowe.
Mieszkanie ciche i ciepłe, z ekspozycją słoneczną na wschodnią stronę, z widokiem na zielony skwer.
Okna PCV. W pokojach na podłodze panele.
Media miejskie !
Czynsz: 450 zł
Okolica:
Pełna infrastruktura osiedlowa: żłobki, przedszkole, szkoły liczne sklepy, banki, punkty usługowe, apteka, przychodnia, stacje benzynowe. Niedaleko centrum handlowe.
Komunikacja:
Szybki i łatwy dojazd do obwodnicy śródmiejskiej, które umożliwia szybkie dotarcie do różnych części miasta. Liczne połączenia autobusowe i tramwajowe usprawniają komunikację z centrum miasta.
Doskonała lokalizacja dla osób poszukujących bliskości do Centrum.
Gorąco polecam, zapraszam do kontaktu
CENA: 440 000 zł
Ewelina Otawa
Pośrednik w obrocie nieruchomościami lic. zaw. nr 22791
tel. 666- 660- 478
nr oferty: POTR-MS-177
email:
Jeśli planujesz kupić lub sprzedać swoją nieruchomość chętnie Ci w tym pomogę. Zapraszam do bezpłatnej konsultacji, która pomoże Ci dobrać najlepszą strategię.
*Prezentowana oferta nie stanowi oferty handlowej w rozumieniu Art. 66 par. 1 Kodeksu Cywilnego, a dane w niej zawarte mają charakter jedynie informacyjny i mogą ulec zmianie.
_
POTER Nieruchomości kompleksowo zajmuje się obsługą sprzedaży/kupna nieruchomości, współpracujemy z doradcą kredytowym, który wybierze dla Państwa najlepszą i korzystną opcję kredytu, posiadamy ubezpieczenie OC, gwarantujemy bezpieczeństwo transakcji."
8350zl/mkw/brak prowizji/brak Pcc,351 619 zł,8 350 zł/m²,"ul. Ignacego Mościckiego, Brochów, Krzyki, Wrocław, dolnośląskie","42,11 m²",2,2/2,300 zł,pełna własność,,,,miejskie,"""Nieruchomości Apartament""

Wojciech Śliwa
☎ 570 644 040

Kupujący nie płaci prowizji!

Bezpłatna pomoc w uzyskaniu kredytu!

Mam do zaoferowania Państwu nowoczesne kameralne apartamenty powstające w cichej, zielonej i spokojnej części Zacharzyc przy ulicy Kościuszki niedaleko Wrocławia.

Jest to drugi etap inwestycji, który obejmuje 9 trzy kondygnacyjnych budynków wielorodzinnych (108 lokali mieszkalnych, do których przynależy ogródek lub balkon)

Osiedle będzie funkcjonowało jak małe miasteczko z pełną infrastrukturą, lokalami usługowymi i placami zabaw

Mieszkania w metrażach od od 37,82 m2 do 68,95 m2

Oferta dotyczy mieszkania mieszkania 42,11 mkw, lecz jeśli jest Pan/Pani zainteresowana innym metrażem to również proszę o kontakt!

CENA: 351 619 PLN
CENA ZA METR: 8 350 PLN
METRAŻ: 42,11 m2
LICZBA POKOI: 2
PIĘTRO: 2
BALKON

naziemne miejsce pojedyncze - 20 000 zł

TERMIN REALIZACJI: II kw. 2025

Apartament oferuje zarówno spokój otaczającej przyrody, jak i bliskość kluczowych punktów miasta.

- Rynek (Wrocław) - 10 km
- Szkoła podstawowa 1,5 km,
- Przedszkole 1 km
- Biedronka - 3km


Doskonały dostęp innych części miasta dzięki bliskości obwodnicy wschodniej - 1km

W bliskim sąsiedztwie planowanej inwestycji znajduje się Park Brochowski i Bieńkowicki z boiskiem i atrakcjami dla dzieci.

Nieopodal przebiega trasa Wschodniej Obwodnicy Wrocławia wzdłuż, której ciągnie się trasa rowerowa.

Dużym atutem komunikacyjnym jest również zlokalizowana w niedalekiej odległości stacja kolejowa Wrocław Brochów oraz miejska komunikacja autobusowa w pobliskich Bieńkowicach.

Nieruchomość szczególnie polecam rodzinom, które potrzebują wygodnie i
szybko dotrzeć do centrum, a jednocześnie ważna jest dla nich cisza, spokój i bliskość natury.

Bezpłatna pomoc w uzyskaniu kredytu
Zapraszam do kontaktu i na prezentację!

☎ 570 644 040
Wojciech Śliwa

Kontaktując się z agentem odpowiedzialnym za ofertę, koniecznie zapytaj jakie są warunki współpracy z naszym biurem oraz co w związku ze współpracą zapewniamy.
Dbając o bezpieczeństwo klientów sprzedających, a często także na ich wyraźne życzenie, nie podajemy adresów nieruchomości bez podpisania uprzednio umowy o pośrednictwo w kupnie lub najmie.

Wszelkie podane przez Biuro informacje nie są ofertą w rozumieniu Kodeksu Cywilnego.

Zgodnie z Ustawą o Prawie Autorskim i Prawach Pokrewnych z dnia 4 lutego 1994 roku (Dz.U.94 Nr 24 poz. 83, sprost.: Dz.U.94 Nr 43 poz.170) wykorzystywanie autorskich pomysłów, rozwiązań, kopiowanie, rozpowszechnianie zdjęć, fragmentów grafiki, tekstów opisów w celach zarobkowych, bez zezwolenia autora jest zabronione i stanowi naruszenie praw autorskich oraz podlega karze. Znaki towarowe i graficzne są własnością firmy Nieruchomości Apartament."
"Gotowe, 4 pokojowe mieszkanie z dwoma balkonami",799 000 zł,11 117 zł/m²,"ul. Waniliowa, Lipa Piotrowska, Psie Pole, Wrocław, dolnośląskie","71,87 m²",4,2/5,590 zł,pełna własność,do zamieszkania,balkon,,inne,Film
2 pokoje/ogródek/garaż/balkon...,300 000 zł,5 432 zł/m²,"Skarszyn, Trzebnica, trzebnicki, dolnośląskie","55,23 m²",2,parter/2,742 zł,pełna własność,do zamieszkania,"balkon, ogródek",garaż/miejsce parkingowe,inne,"Nieruchomości Apartament
Małgorzata Świetłowicz
tel. 793 775 800

OFERTA TYLKO W NASZYM BIURZE !  REZERWACJA NIERUCHOMOŚCI...
Mieszkanie z garażem i ogródkiem ...

Do sprzedaży ładne, zadbane 2 pokojowe mieszkanie o pow. 55,23 m2 znajdujące się  na parterze w bloku dwupiętrowym z lat 80-tych w Skarszynie.
Przedmiotem sprzedaży wraz z lokalem mieszkalnym jest:
- udział w nieruchomości niezabudowanej stanowiącej działkę - ogródek działkowy o powierzchni 500 m²,
- udział w nieruchomości zabudowanej stanowiącej - mały przynależny budynek, pełniący funkcję garażu.

Na powierzchnię mieszkania  składa się:
- salon z dużym balkonem;
- pokój;
- duża, jasna kuchnia z oknem;
- łazienka;
- wc.
Do mieszkania przynależy piwnica. Budynek ocieplony, klatka schodowa zadbana. W klatce znajduje się tylko 6 lokali mieszkalnych. Przyjazne sąsiedztwo. Możliwość parkowania samochodu przed blokiem. Czynsz do administratora 742 zł (ogrzewanie i woda, fundusz remontowy). Mieszkanie w bardzo dobrym stanie, zadbane, gotowe do zamieszkania. Idealne dla pary lub rodziny z dzieckiem lub inwestycyjnie pod wynajem.
Skarszyn to spokojna wioska położona zaledwie 4 km od węzła z drogą ekspresową S 8. Tylko 10 km od Trzebnicy i 13 min. samochodem do Wrocławia. We wsi znajduje się przystanek autobusowy, paczkomat. Do stacji kolejowej relacji Trzebnica - Wrocław zaledwie 4 km. Malowniczy teren wzgórz Trzebnickich świetny na piesze wędrówki a także na wypady rowerowe.

Zapraszam na prezentację/pomagamy w uzyskaniu kredytu hipotecznego.
Małgorzata Świetłowicz/opiekun oferty
tel. 793 775 800

Kontaktując się z agentem odpowiedzialnym za ofertę, koniecznie zapytaj jakie są warunki współpracy z naszym biurem oraz co w związku ze współpracą zapewniamy.
Dbając o bezpieczeństwo klientów sprzedających, a często także na ich wyraźne życzenie, nie podajemy adresów nieruchomości bez podpisania uprzednio umowy o pośrednictwo w kupnie lub najmie.

Wszelkie podane przez Biuro informacje nie są ofertą w rozumieniu Kodeksu Cywilnego.

Zgodnie z Ustawą o Prawie Autorskim i Prawach Pokrewnych z dnia 4 lutego 1994 roku (Dz.U.94 Nr 24 poz. 83, sprost.: Dz.U.94 Nr 43 poz.170) wykorzystywanie autorskich pomysłów, rozwiązań, kopiowanie, rozpowszechnianie zdjęć, fragmentów grafiki, tekstów opisów w celach zarobkowych, bez zezwolenia autora jest zabronione i stanowi naruszenie praw autorskich oraz podlega karze. Znaki towarowe i graficzne są własnością firmy Nieruchomości Apartament."
NOWA kawalerka + balkon | dla klientów gotówkowych,399 999 zł,14 286 zł/m²,"Szczepin, Stare Miasto, Wrocław, dolnośląskie",28 m²,,6/13,,pełna własność,do zamieszkania,balkon,,miejskie,"Przedstawiam Państwu na sprzedaż NOWY, INWESTYCYJNY LOKAL MIESZKALNY!
Nieruchomość znajduję się w budynku B Urban.
Wrocław Fabryczna - 15 min komunikacją do centrum!
Lokal zlokalizowany na 6 piętrze 14-kondygnacyjnego budynku z windą z 2022 roku. Idealny pod wynajem! Nowoczesny design, piękny wystrój wnętrz.
Powierzchnia użytkowa wynosi 27-28 m2 i obejmuję:
·        salon z aneksem kuchennym"
"Loftowa kawalerka - Huby, w okolicy Pkp/Pks !",550 000 zł,12 791 zł/m²,"Huby, Krzyki, Wrocław, dolnośląskie",43 m²,,5/5,320 zł,pełna własność,do zamieszkania,,,gazowe,"Na sprzedaż klimatyczna, w pełni umeblowana kawalerka w loftowym stylu na 5 piętrze 5 piętrowej odrestaurowanej kamienicy o powierzchni 42,65 m2 w dzielnicy Krzyki - HUBY, w okolicy ulicy Gajowej, w pobliżu dworca PKP/PKS i CH Wroclavia !
- 5 min do Aquaparku i Parku gen. W. Andersa
-15 min do Uniwersytetu Ekonomicznego
Mieszkanie sprzedawane jest z całym wyposażeniem więc, nie wymaga żadnego nakładu finansowego !
Lokal składa się z:
- pokoju z aneksem kuchennym, z meblami kuchennymi oraz sprzętem w zabudowie
- przestronnej łazienki z oknem, wyposażonej w kabinę prysznicową
- przedpokoju z szafą w zabudowie
Mieszkanie zostało odnowione w 2020 roku, co oznacza, że wnętrze jest w doskonałym stanie i ma nowoczesny wystrój.
Styl loftowy nadaje mu wyjątkowy charakter.
Spokojna okolica.
Mieszkanie ciche, z ekspozycją słoneczną na zachodnią stronę.
Miejsca parkingowe dla mieszkańców w podwórzu za szlabanem.
Doskonała inwestycja pod wynajem !
Czynsz: 320 zł. Dodatkowo płatny gaz wg. zużycia. Piec gazowy 2-funkcyjny.
Okolica:
W bliskim sąsiedztwie trasy rowerowe i spacerowe.
Pełna infrastruktura osiedlowa: żłobki, przedszkole, szkoły liczne sklepy, punkty usługowe, apteka, przychodnia, sklep Kaufland.
Komunikacja:
Liczne połączenia autobusowe i tramwajowe usprawniają komunikację z centrum miasta.
CENA: 550 000 zł do negocjacji
Gorąco polecam, zapraszam do kontaktu.
Ewelina Otawa
Pośrednik w obrocie nieruchomościami lic. zaw. nr 22791
tel. 666- 660- 478
nr oferty: POTR-MS-155
email:
Jeśli planujesz kupić lub sprzedać swoją nieruchomość chętnie Ci w tym pomogę. Zapraszam do bezpłatnej konsultacji, która pomoże Ci dobrać najlepszą strategię. * Prezentowana oferta nie stanowi oferty handlowej w rozumieniu Art. 66 par. 1 Kodeksu Cywilnego, a dane w niej zawarte mają charakter jedynie informacyjny i mogą ulec zmianie. _
POTER Nieruchomości kompleksowo zajmuje się obsługą sprzedaży/kupna nieruchomości, współpracujemy z doradcą kredytowym, który wybierze dla Państwa najlepszą i korzystną opcję kredytu, posiadamy ubezpieczenie OC, gwarantujemy bezpieczeństwo transakcji.

Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Ewelina (licencja nr: 22791)"
"20min.od Korony Smardzów 2 pok. 30,10m2 Gotowe",155 000 zł,5 150 zł/m²,"Smardzów, Oleśnica, oleśnicki, dolnośląskie","30,1 m²",2,parter/1,,,do zamieszkania,,garaż/miejsce parkingowe,gazowe,"""Nieruchomości Apartament""
Agnieszka Czubernat
☎️504 268 564
 
Oferta dostępna tylko u nas w biurze! 


Polecam na sprzedaż  dwupokojowe  mieszkanie w Smardzowie zaledwie 20 minut od centrum handlowego Korona
i tylko 5 km od Oleśnicy.

Do mieszkania przynależy pomieszczenie gospodarcze mierzące 11,20 mkw oraz piwnica 5,20 mkw.

 Lokal składa się z przestronnej kuchni połączonej z salonem, małego pokoju oraz sporej łazienki.
Jasne, bardzo przytulne i ciche mieszkanie, w  kamienicy z 1941 roku, w doskonałej lokalizacji.

Mieszkanie jest bardzo przestrzenne, jasne i ciche. Ogrzewanie gazowe piecem dwu funkcyjnym.
Mieszkanie gotowe do wprowadzenia.

Kto może tu zamieszkać?

Mieszkanie jest doskonałe dla pary lub pary z dzieckiem. Jest to również bardzo dobra inwestycja pod długoterminowy wynajem, dla klientów, którzy cenią sobie tę okolicę i bardzo dobrą komunikacje z całym miastem. Bardzo dobra propozycja cenowa !
Dodatkowe informacje:
Lokal jest świetnie zlokalizowany. zaledwie 200 metrów od drogi S8. Przystanki autobusowe znajdują się kilka minut od lokalu. Dzięki temu szybko dostaniemy się w każdą część miasta, szybki dojazd samochodem do Wrocławia.

Zapraszam do kontaktu i na prezentację !
Agnieszka Czubernat
☎️504 268 564

.

Kontaktując się z agentem odpowiedzialnym za ofertę, koniecznie zapytaj jakie są warunki współpracy z naszym biurem oraz co w związku ze współpracą zapewniamy.
Dbając o bezpieczeństwo klientów sprzedających, a często także na ich wyraźne życzenie, nie podajemy adresów nieruchomości bez podpisania uprzednio umowy o pośrednictwo w kupnie lub najmie.

Wszelkie podane przez Biuro informacje nie są ofertą w rozumieniu Kodeksu Cywilnego.

Zgodnie z Ustawą o Prawie Autorskim i Prawach Pokrewnych z dnia 4 lutego 1994 roku (Dz.U.94 Nr 24 poz. 83, sprost.: Dz.U.94 Nr 43 poz.170) wykorzystywanie autorskich pomysłów, rozwiązań, kopiowanie, rozpowszechnianie zdjęć, fragmentów grafiki, tekstów opisów w celach zarobkowych, bez zezwolenia autora jest zabronione i stanowi naruszenie praw autorskich oraz podlega karze. Znaki towarowe i graficzne są własnością firmy Nieruchomości Apartament."
Dwa poziomy | Duży taras | Dla rodziny | Muchobór!,899 999 zł,10 976 zł/m²,"Muchobór Mały, Fabryczna, Wrocław, dolnośląskie",82 m²,3,2/2,,pełna własność,do zamieszkania,"balkon, taras",garaż/miejsce parkingowe,kotłownia,"Przedstawiam Państwu na sprzedaż dwupoziomowe mieszkanie z dużym tarasem oraz balkonem zlokalizowane na Muchoborze Wielkim! Wysoki standard! Najwyższe piętro.

Na łączną powierzchnię 82,00 m2 składają się: 
I Poziom:
sypialnia 1,
sypialnia 2,"
Dwustronne 3 pokoje pod inwestycje na Hubach!,525 000 zł,8 244 zł/m²,"ul. Gajowa, Huby, Krzyki, Wrocław, dolnośląskie","63,68 m²",3,5/5,490 zł,pełna własność,do wykończenia,,,miejskie,"Mateusz 797 231 735
""Apartament Nieruchomości""

NOWA CENA!!!

KLUCZE U NAS W BIURZE!

Dzień Dobry!

Mam do zaoferowania Państwu słoneczne 3 pokojowe mieszkanie na Hubach w dzielnicy Krzyki. W okolicy liczne sklepy, szkoły, przedszkola, uczelnie wyższe, galerie handlowe, apteki, przychodnie oraz kawiarnie i restauracje. 

Świetna lokalizacja nieruchomości. 2 minuty piechotą do takich miejsc jak Dworzec PKP ""Wrocław Główny"", Dworzec Autobusowy, Galeria Handlowa Wroclavia. Dla zmotoryzowanych bardzo szybki i wygodny wyjazd z Wrocławia w stronę Autostrady A4.

Mieszkanie w pełnym rozkładzie. Nieruchomość składa się z:
-trzech oddzielnych pokoi,
-oddzielnej kuchni (z możliwością wydzielenia 4 pokoju),
-umeblowanej łazienki,
-przedpokoju.

Powierzchnia mieszkania liczona po podłodze wynosi 84mkw.

Dla osób posiadających samochód wokół budynku znajduje się bardzo dużo ogólnodostępnych miejsc parkingowych.

Czynsz wynosi 410 złotych + prąd  oraz gaz według zużycia.

Wystawa okien: wschód (kuchnia i pokój), zachód (2 pokoje).

Mieszkanie o dużym potencjale inwestycyjnym ze względu na swoją lokalizację oraz bliskość uczelni wyższych w tym Uniwersytetu Ekonomicznego.

CENA DO NEGOCJACJI!

Serdecznie polecam i zapraszam Państwa na prezentacje!


Kontaktując się z agentem odpowiedzialnym za ofertę, koniecznie zapytaj jakie są warunki współpracy z naszym biurem oraz co w związku ze współpracą zapewniamy.
Dbając o bezpieczeństwo klientów sprzedających, a często także na ich wyraźne życzenie, nie podajemy adresów nieruchomości bez podpisania uprzednio umowy o pośrednictwo w kupnie lub najmie.

Wszelkie podane przez Biuro informacje nie są ofertą w rozumieniu Kodeksu Cywilnego.

Zgodnie z Ustawą o Prawie Autorskim i Prawach Pokrewnych z dnia 4 lutego 1994 roku (Dz.U.94 Nr 24 poz. 83, sprost.: Dz.U.94 Nr 43 poz.170) wykorzystywanie autorskich pomysłów, rozwiązań, kopiowanie, rozpowszechnianie zdjęć, fragmentów grafiki, tekstów opisów w celach zarobkowych, bez zezwolenia autora jest zabronione i stanowi naruszenie praw autorskich oraz podlega karze. Znaki towarowe i graficzne są własnością firmy Nieruchomości Apartament."
2 pok.| Rozkład | Balkon | Po remoncie !,570 000 zł,13 571 zł/m²,"Księże, Krzyki, Wrocław, dolnośląskie",42 m²,2,7/11,,,,balkon,,miejskie,"Mam Państwu do zaoferowania bardzo ładne, w pełni rozkładowe 2 pokojowe mieszkanie z balkonem o powierzchni ok. 42 m2 na 7 piętrze na Krzykach, w okolicy ulicy Wielkiej i Sky Tower.
- 850 m do Uniwersytetu Ekonomicznego
- 1,6 km do Parku gen. Władysława Andersa
- 2,5 km do Rynku
- 2,7 km do Uniwersytetu Medycznego
- 3,9 km do Uniwersytetu Wrocławskiego
Mieszkanie w trakcie generalnego remontu, wraz z wymianą instalacji elektrycznych i wodno-kanalizacyjnych.
Planowany termin zakończenia remontu do 10 lutego
Zdjęcia przedstawiają mieszkanie wykończone w tym samym standardzie.
Lokal składa się:
- pokoju z wyjściem na balkon
- pokoju
- oddzielnej i ciemnej kuchni
- przedpokoju
- łazienki z WC
- BALKONU
Mieszkanie dla singla, pary, tak jak i dobra inwestycja pod wynajem !
Mieszkanie ciche i ciepłe.
Kuchnia i łazienka umeblowana. W kuchni zmywarka Bosch, okap, płyta indukcyjna Bosch.
Okna PCV. W pokojach na podłodze panele.
Media miejskie !
Okolica:
Pełna infrastruktura osiedlowa: żłobki, przedszkole, szkoły liczne sklepy, banki, punkty usługowe, apteka, przychodnia, stacje benzynowe. Niedaleko centrum handlowe.
Komunikacja:
Szybki i łatwy dojazd do obwodnicy śródmiejskiej, które umożliwia szybkie dotarcie do różnych części miasta. Liczne połączenia autobusowe i tramwajowe usprawniają komunikację z centrum miasta. Doskonała lokalizacja dla osób poszukujących bliskości do Centrum.
Gorąco polecam, zapraszam do kontaktu
CENA: 570 000 zł
Ewelina Otawa
Pośrednik w obrocie nieruchomościami lic. zaw. nr 22791
tel. 666- 660- 478
nr oferty: POTR-MS-175
email:
Jeśli planujesz kupić lub sprzedać swoją nieruchomość chętnie Ci w tym pomogę. Zapraszam do bezpłatnej konsultacji, która pomoże Ci dobrać najlepszą strategię.
*Prezentowana oferta nie stanowi oferty handlowej w rozumieniu Art. 66 par. 1 Kodeksu Cywilnego, a dane w niej zawarte mają charakter jedynie informacyjny i mogą ulec zmianie.
_
POTER Nieruchomości kompleksowo zajmuje się obsługą sprzedaży/kupna nieruchomości, współpracujemy z doradcą kredytowym, który wybierze dla Państwa najlepszą i korzystną opcję kredytu, posiadamy ubezpieczenie OC, gwarantujemy bezpieczeństwo transakcji.
Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Ewelina (licencja nr: 22791)"
nowa cena! Tylko u Nas! Apartament! Ogród! Taras!,1 499 999 zł,14 019 zł/m²,"ul. Ludwika Solskiego, Oporów, Fabryczna, Wrocław, dolnośląskie",107 m²,4,parter/2,300 zł,pełna własność,,"ogródek, taras",garaż/miejsce parkingowe,gazowe,Film
Promocja! 4 pok. Balkon! Nowa Inwestycja! Przy S8!,651 972 zł,9 290 zł/m²,"ul. Pełczyńska, Lipa Piotrowska, Psie Pole, Wrocław, dolnośląskie","70,18 m²",4,2/2,300 zł,pełna własność,,"balkon, taras",garaż/miejsce parkingowe,miejskie,"Piotr Świętek
kom. tel: 798857342

PROMOCYJNA CENA 9290 zł/m2

Na sprzedaż oferuję państwu mieszkanie w nowo powstałej inwestycje na Lipie Piotrowskiej.

Kupujący nie płaci prowizji oraz podatku PCC!!!

Mieszkanie w stanie deweloperskim składające się z:

- Pokój dzienny z aneksem
- Sypialnia
- 2 pokoje
- Łazienka
- Przedpokój
- Balkon

Wystawa okien na 3 strony!

Ogrzewanie gazowe centralne z osiedlowej kotłowni.
Mieszkanie jest przestronne z dużymi oknami i roletami zewnętrznymi.
Drzwi antywłamaniowe, domofon.

Miejsce postojowe w garażu podziemnym płatne dodatkowo 30 000 zł
Podwójne miejsce w cenie 45 000 zł
Komórki lokatorskie w cenach: 16 900 zł - 22 900 zł

W budynku znajduje się 9 mieszkań (po 3 na piętro)
Winda z bezpośrednim dostępem do garażu podziemnego i komórek lokatorskich.

Termin zakończenia budowy Wrzesień 2024
Termin oddania do użytku Grudzień 2024

Atuty nieruchomości:

Kameralna niska zabudowa w otoczeniu domów jednorodzinnych, domów w zabudowie szeregowej i bliźniaczej.

Komfort życia w otoczeniu natury z uwagi na bliskość terenów zielonych, min. Parku Widawskiego oraz pobliskiej rzeki Widawy, gdzie znajdują się liczne ścieżki rowerowe. Tereny zielone zapewnią aktywność sportową, jak i odpoczynek.

Lokalizacja: Autobus 150 m, stacja kolejowa Wrocław Osobowice 800 m

Po więcej informacji zapraszam do kontaktu. W naszej ofercie również inne mieszkania!

Piotr Świętek
kom. tel: 798857342





Kontaktując się z agentem odpowiedzialnym za ofertę, koniecznie zapytaj jakie są warunki współpracy z naszym biurem oraz co w związku ze współpracą zapewniamy.
Dbając o bezpieczeństwo klientów sprzedających, a często także na ich wyraźne życzenie, nie podajemy adresów nieruchomości bez podpisania uprzednio umowy o pośrednictwo w kupnie lub najmie.

Wszelkie podane przez Biuro informacje nie są ofertą w rozumieniu Kodeksu Cywilnego.

Zgodnie z Ustawą o Prawie Autorskim i Prawach Pokrewnych z dnia 4 lutego 1994 roku (Dz.U.94 Nr 24 poz. 83, sprost.: Dz.U.94 Nr 43 poz.170) wykorzystywanie autorskich pomysłów, rozwiązań, kopiowanie, rozpowszechnianie zdjęć, fragmentów grafiki, tekstów opisów w celach zarobkowych, bez zezwolenia autora jest zabronione i stanowi naruszenie praw autorskich oraz podlega karze. Znaki towarowe i graficzne są własnością firmy Nieruchomości Apartament."
3M + TARAS| Ogrzewanie miejskie| Plomba! WINDA,729 000 zł,10 658 zł/m²,"Szczytniki, Śródmieście, Wrocław, dolnośląskie","68,4 m²",3,6/7,1 200 zł,,do zamieszkania,,,miejskie,"Przedstawiam Państwu na sprzedaż dwustronne, 3-pokojowe mieszkanie położone w świetnej lokalizacji: WROCŁAW – ŚRÓDMIEŚCIE!
Lokal mieści się na 6 piętrze ośmiokondygnacyjnego budynku z windą, który niedawno przeszedł remont elewacji. Mieszkanie w dobrym standardzie, gotowe do wprowadzenia. Idealnie nadaje się pod inwestycję lub dla rodziny!
Na łączną powierzchnię 68,40 m2 składają się:
·        kuchnia
·        pokój 1"
Grabiszyn! Kawalerka | Zapraszam pośredników!,449 999 zł,14 173 zł/m²,"Gajowice, Fabryczna, Wrocław, dolnośląskie","31,75 m²",,1/6,,pełna własność,do wykończenia,balkon,,miejskie,"Oferuję na sprzedaż kawalerkę zlokalizowaną na Grabiszynie przy ul. Stalowej. Mieszkanie w stanie deweloperskim.

OFERUJEMY MOŻLIWOŚĆ WSPÓŁPRACY Z FIRMĄ WYKOŃCZENIOWĄ!

OPIS MIESZKANIA:
Mieszkanie składa się z salonu z aneksem kuchennym, łazienki oraz balkonu. Powierzchnia mieszkania wynosi 31,75 m2, idealne zarówno dla pary, jak i singla."
"2 pokoje, balkon, Grabiszynek, ul. Racławicka",570 000 zł,14 508 zł/m²,"ul. Racławicka, Grabiszynek, Fabryczna, Wrocław, dolnośląskie","39,29 m²",2,1/4,590 zł,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,miejskie,"Polecamy do kupna mieszkanie 2-u pokojowe z balkonem zlokalizowane na wrocławskim Grabiszynku. Nowe osiedle dobrze skomunikowane z Centrum. W pobliżu duży i ceniony Park Grabiszyński, Centrum Handlowe Borek Szkoła Międzynarodowa.
Budynek ogrodzony z 2011 roku wybudowany przez dewelopera I2. Czteropiętrowy z windą. W kondygnacji podziemnej garaż wielostanowiskowy.
Mieszkanie 2-pokojowe, bardzo sensownie rozplanowane. Powierzchnia: 39,29 mkw. Pokój dzienny z oddzielonym aneksem kuchennym. Część wypoczynkowa obszerna z wyjściem na balkon (strona południowo-zachodnia). Efektowna ściana kamienna. Klimatyzacja. Kuchnia oddzielona barkiem. Duże zabudowy kuchenne. Pełne AGD: duża lodówka z zamrażarką, zmywarka, piekarnik, płyta indukcyjna, mikrofalówka w zabudowie, a nawet młynek przy zlewie. Sypialnia z dużą szafą (do sufitu), łóżko z materacem. Łazienka z wanną z funkcją prysznica. Wanna. W przedpokoju szafa w zabudowie. Całe umeblowanie i AGD w cenie. Mieszkanie wykończone funkcjonalnie i estetycznie.
Cena: 570.000 zł + 35.000 miejsce postojowe. POLECAMY
Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Małgorzata Sieradzka (licencja nr: 2394)
-
NAJLEPSZE I BEZPIECZNE OFERTY TYLKO W BIURACH NIERUCHOMOŚCI, SPRAWDŹ OFERTY TWOJEGO ZAUFANEGO POŚREDNIKA:
Nota prawna
Opis oferty zawarty na stronie internetowej sporządzany jest na podstawie oględzin nieruchomości oraz informacji uzyskanych od właściciela, może podlegać aktualizacji i nie stanowi oferty określonej w art. 66 i następnych K.C."
